Table: Table_1

Section ,Day ,Tutorials ,,Labs ,,
,,Time ,Location ,Time ,Location ,
002 ,Monday ,1:35pm - 2:25pm ,ENGTR 0060 ,2:35pm - 3:25pm ,ENGTR 4060 ,
003 ,Tuesday ,1:35pm - 2:25pm ,ENGTR 0060 ,2:35pm - 3:25pm ,ENGTR 4060 ,
004 ,Wednesday ,1:35pm - 2:25pm ,ENGTR 2120 ,2:35pm - 3:25pm ,ENGTR 4060 ,
005 ,Thursday ,1:35pm - 2:25pm ,ENGTR ( 0060 ,2:35pm - 3:25pm ,ENGTR 4060 ,
006 ,Friday ,1:35pm - 2:25pm ,ENGTR 0060 ,2:35pm - 3:25pm ,ENGTR 4060 ,
007 ,Tuesday ,3:35pm - 4:25pm ,ENGTR 0060 ,4:35pm - 5:25pm ,ENGTR 4060 ,
008 ,Wednesday ,3:35pm - 4:25pm ,ENGTR 0060 ,4:35pm - 5:25pm ,ENGTR 4060 ,
009 ,Thursday ,3:35pm - 4:25pm ,ENGTR 0060 ,4:35pm - 5:25pm ,ENGTR 4060 ,





