Table: Table_1

PP assignment ,Post date ,Due date ,
1 ,January 7, 2022 ,January 14, 2022 ,
2 ,January 14, 2022 ,January 21, 2022 ,
3 ,January 21, 2022 ,January 28, 2022 ,
4 ,January 28, 2022 ,February 4, 2022 ,
5 ,February 4, 2022 ,February 11, 2022 ,
6 ,February 11, 2022 ,February 18, 2022 ,
7 ,February 18, 2022 ,February 25, 2022 ,
8 ,February 25, 2022 ,March 11, 2022 ,
9 ,March 11, 2022 ,March 18, 2022 ,
10 ,March 18, 2022 ,March 25, 2022 ,
11 ,March 25, 2022 ,April 1, 2022 ,
12 ,April 1, 2022 ,April 8, 2022 ,





Table: Table_2

Component ,Percentage ,
Pen-and-paper assignments ,10% ,
VHDL assignments ,20% ,
Midterm exam 1 ,15% ,
Midterm exam 2 ,15% ,
Final exam ,40% ,





